"","playerID","W","club.300","CG","SHO","SV","IPouts","SO","yrs.played","last.year","best.7.ERA","best.7.WHIP","best.7.ERA_Plus","best.7.FIP","best.7.H9","best.7.HR9","best.7.BB9","best.7.SO9","best.7.SO_per_BB","Prime_years","best.7.Role","nameFirst","nameLast","HOF.Player","pred.prob","HOF.Score"
"1","aardsda01",16,"no",0,0,69,1011,340,9,2015,4.18,1.37,111,4.34,7.4,1.1,4.7,9.4,2,2010,"Reliever","David","Aardsma","FALSE",1.8669820538373e-07,0
"2","aasedo01",66,"no",22,5,82,3328,641,13,1990,3.32,1.31,124,3.49,8.9,0.6,3.2,5,1.57,1982,"Reliever","Don","Aase","FALSE",0.00029481689652816,0
"3","abbotgl01",62,"no",37,5,0,3858,484,11,1984,4.13,1.32,94,4.43,9.4,1.1,2.4,3.4,1.43,1978,"Starter","Glenn","Abbott","FALSE",1.10447837509324e-06,0
"4","abbotji01",87,"no",31,6,0,5022,888,10,1999,3.66,1.36,114,3.97,9,0.7,3.1,5,1.65,1993,"Starter","Jim","Abbott","FALSE",3.91218568332071e-06,0
"5","abbotpa01",43,"no",1,0,0,2162,496,11,2004,4.65,1.46,101,5.21,8.3,1.2,4.6,5.9,1.27,1998,"Starter","Paul","Abbott","FALSE",4.88302429373551e-07,0
"6","abernte02",63,"no",7,2,148,3443,765,14,1972,2.29,1.24,158,3.2,7,0.4,4.1,6.1,1.49,1968,"Reliever","Ted","Abernathy","FALSE",0.00020855160002122,0
"7","aceveju01",28,"no",0,0,53,1710,350,8,2003,4.16,1.42,121,4.82,9.2,1.1,3.5,5.4,1.55,1999,"Reliever","Juan","Acevedo","FALSE",2.49116757552912e-06,0
"8","ackerji01",33,"no",0,0,30,2713,482,10,1992,3.73,1.37,109,3.87,9,0.7,3.1,4.9,1.56,1986,"Reliever","Jim","Acker","FALSE",2.51769446411867e-07,0
"9","adamsba01",194,"no",206,44,15,8986,1036,19,1926,2.09,0.98,163,2.49,7.7,0.1,1.1,3.6,3.37,1917,"Starter","Babe","Adams","FALSE",0.774627150909869,77.5
"10","adamste01",51,"no",0,0,42,2608,691,11,2005,3.84,1.38,121,3.67,8.8,0.6,3.6,7.2,1.98,2000,"Reliever","Terry","Adams","FALSE",5.67713813934222e-06,0
"11","affelje01",43,"no",0,0,28,2778,720,14,2015,3.02,1.25,148,3.53,8.1,0.7,3.2,7.6,2.39,2009,"Reliever","Jeremy","Affeldt","FALSE",6.34863120009732e-07,0
"12","agostju01",40,"no",0,0,29,1879,307,13,1993,3.56,1.34,114,3.74,8.5,0.5,3.7,4.4,1.19,1987,"Reliever","Juan","Agosto","FALSE",1.35614578680865e-05,0
"13","aguilri01",86,"no",10,0,318,3874,1030,16,2000,2.78,1.09,146,3.14,7.6,0.7,2.4,7.9,3.35,1993,"Reliever","Rick","Aguilera","FALSE",0.0219085399136661,2.2
"14","aguirha01",75,"no",44,9,33,4127,856,16,1970,2.54,1.18,169,3.22,7.1,0.6,2.9,6.4,2.17,1963,"Reliever","Hank","Aguirre","FALSE",9.38987396702734e-06,0
"15","akerja01",47,"no",0,0,123,2238,404,11,1974,2.7,1.2,139,3.57,7.4,0.6,3,4.9,1.62,1970,"Reliever","Jack","Aker","FALSE",1.26525985675859e-05,0
"16","aldrivi01",97,"no",102,8,6,4802,526,9,1928,3.69,1.36,108,4.02,9.4,0.5,2.8,2.9,1.04,1923,"Starter","Vic","Aldridge","FALSE",9.594130120582e-05,0
"17","alexado01",194,"no",98,18,3,10103,1528,19,1989,3.17,1.22,122,3.78,8.5,0.9,2.5,4.3,1.73,1980,"Starter","Doyle","Alexander","FALSE",0.00173665870636284,0.2
"18","alexape01",373,"yes",437,90,32,15570,2198,20,1930,1.85,1.01,177,2.42,7.6,0.2,1.4,4.2,3.02,1920,"Starter","Pete","Alexander","TRUE",0.999999045179452,100
"19","alfonan01",35,"no",0,0,129,1839,400,11,2007,3.73,1.48,127,4.2,9.6,0.8,3.6,5.8,1.61,2002,"Reliever","Antonio","Alfonseca","FALSE",4.38802999498075e-06,0
"20","allenjo02",142,"no",109,17,18,5851,1070,13,1944,3.31,1.27,129,3.57,8.2,0.4,3.4,5.3,1.58,1937,"Starter","Johnny","Allen","FALSE",0.025026535282991,2.5
"21","allenne01",58,"no",7,6,75,2965,611,11,1989,3.61,1.38,108,3.54,8.6,0.5,3.9,5.7,1.48,1982,"Reliever","Neil","Allen","FALSE",5.28268007723572e-05,0
"22","altroni01",83,"no",128,16,7,4542,425,16,1924,2.52,1.11,113,2.53,8.3,0.1,1.5,2.7,1.76,1904,"Starter","Nick","Altrock","FALSE",6.21354577079716e-06,0
"23","alvarwi01",102,"no",12,5,4,5243,1330,14,2005,3.45,1.31,131,4.12,7.9,0.8,4.1,7,1.73,1997,"Starter","Wilson","Alvarez","FALSE",3.43640869305441e-05,0
"24","amesre01",183,"no",209,26,36,9594,1702,17,1919,2.3,1.18,124,2.45,7.9,0.1,2.8,4.8,1.74,1910,"Starter","Red","Ames","FALSE",0.00752263296884058,0.8
"25","anderbr02",82,"no",12,4,1,4641,723,13,2005,4.31,1.28,105,4.82,9.7,1.5,1.7,4.3,2.59,1999,"Starter","Brian","Anderson","FALSE",1.99904641891405e-06,0
"26","anderla02",40,"no",0,0,49,2986,758,17,1994,2.32,1.16,175,2.57,7.9,0.3,2.6,7.2,2.74,1988,"Reliever","Larry","Andersen","FALSE",4.77433811999067e-06,0
"27","andreiv01",50,"no",43,2,8,3123,257,8,1938,4.01,1.42,109,4.29,9.9,0.5,2.8,2.1,0.76,1935,"Reliever","Ivy","Andrews","FALSE",1.29672307880692e-05,0
"28","andujjo01",127,"no",68,19,9,6459,1032,13,1988,3.3,1.22,120,3.67,8.1,0.6,2.8,4.3,1.54,1982,"Starter","Joaquin","Andujar","FALSE",0.000569290444026017,0.1
"29","antonjo02",126,"no",102,25,21,5977,1162,12,1961,3.03,1.22,133,3.57,7.9,0.9,3,5.4,1.8,1955,"Starter","Johnny","Antonelli","FALSE",0.00296585074519025,0.3
"30","appieke01",169,"no",34,12,0,7786,1994,16,2004,3.15,1.2,137,3.39,7.8,0.6,3,7.4,2.48,1995,"Starter","Kevin","Appier","FALSE",0.00210863007385711,0.2
"31","applepe01",57,"no",34,6,26,3423,420,14,1945,4.17,1.44,106,4.42,9.2,0.5,3.7,3.5,0.95,1936,"Reliever","Pete","Appleton","FALSE",9.98966024140371e-06,0
"32","aquinlu01",31,"no",5,3,5,2035,318,9,1995,3.67,1.34,110,3.86,9.1,0.6,2.8,4.4,1.59,1992,"Reliever","Luis","Aquino","FALSE",4.83355921754132e-07,0
"33","armasto02",53,"no",0,0,0,2777,680,10,2008,4.48,1.41,101,4.81,8.5,1.1,4.3,6.8,1.6,2003,"Starter","Tony","Armas","FALSE",1.49645273439506e-06,0
"34","ashbyan01",98,"no",21,7,1,5432,1173,14,2004,3.55,1.25,128,4.02,8.8,0.9,2.5,6.1,2.45,1997,"Starter","Andy","Ashby","FALSE",7.89472190818114e-06,0
"35","assenpa01",61,"no",0,0,56,2567,807,14,1999,2.92,1.26,145,3.29,8.2,0.7,3.1,8.3,2.68,1994,"Reliever","Paul","Assenmacher","FALSE",2.98573628897667e-06,0
"36","astacpe01",129,"no",31,12,0,6590,1664,15,2006,3.98,1.3,116,4.06,9,1,2.8,6.7,2.36,1995,"Starter","Pedro","Astacio","FALSE",0.000119428248868392,0
"37","atchisc01",17,"no",0,0,3,1040,253,9,2015,3.37,1.19,135,3.61,8.2,0.7,2.3,6.4,2.77,2010,"Reliever","Scott","Atchison","FALSE",4.10384190154084e-07,0
"38","atherke01",33,"no",0,0,26,1699,349,7,1989,3.99,1.34,100,4.44,8.6,1.1,3.5,5.7,1.62,1986,"Reliever","Keith","Atherton","FALSE",1.50240807144809e-06,0
"39","augusje01",55,"no",27,6,11,2832,348,10,1984,4.18,1.43,92,4.22,9.5,0.8,3.1,3,0.98,1979,"Starter","Jerry","Augustine","FALSE",3.28256382471909e-06,0
"40","aukerel01",130,"no",126,14,2,5890,594,10,1942,4.14,1.46,102,4.21,10,0.5,3.2,2.8,0.87,1937,"Starter","Elden","Auker","FALSE",0.00289941783276113,0.3
"41","averyst01",96,"no",14,6,0,4664,980,11,2003,3.79,1.26,114,3.87,8.4,0.8,2.7,5.8,2.11,1994,"Starter","Steve","Avery","FALSE",1.70257012659596e-05,0
"42","ayalabo01",37,"no",0,0,59,1728,541,8,1999,4.8,1.43,101,4.28,9,1.2,3.8,8.3,2.18,1996,"Reliever","Bobby","Ayala","FALSE",8.75503236177701e-06,0
"43","ayalalu01",38,"no",0,0,19,1663,367,9,2013,2.73,1.24,157,3.81,9.1,0.8,2,6,3,2008,"Reliever","Luis","Ayala","FALSE",7.84505930240498e-07,0
"44","ayersdo01",65,"no",58,17,15,4286,622,9,1921,2.84,1.22,107,2.67,8.4,0.1,2.3,4,1.7,1917,"Starter","Doc","Ayers","FALSE",3.13827981024784e-06,0
"45","badenbu01",20,"no",0,0,4,1537,350,8,2015,3.5,1.28,118,3.43,8.9,0.5,2.6,6.1,2.37,2012,"Reliever","Burke","Badenhop","FALSE",2.84828602215978e-07,0
"46","baezda01",40,"no",1,0,114,2091,505,10,2011,3.82,1.29,118,4.09,8.2,0.8,3.8,6.9,1.8,2004,"Reliever","Danys","Baez","FALSE",8.45851001594821e-05,0
"47","bagbyji01",127,"no",133,16,29,5465,450,9,1923,2.92,1.26,111,3.11,8.9,0.2,2.1,2.2,1.03,1919,"Starter","Jim","Bagby","FALSE",0.000845142948216749,0.1
"48","bagbyji02",97,"no",84,13,9,4999,431,10,1947,3.7,1.4,102,3.89,9.3,0.5,3.1,2.3,0.75,1942,"Starter","Jim","Bagby","FALSE",0.000100860214507762,0
"49","bahnsst01",146,"no",73,16,20,7587,1359,16,1982,3.1,1.25,118,3.57,8.3,0.7,2.9,4.6,1.56,1974,"Starter","Stan","Bahnsen","FALSE",0.000247476991750095,0
"50","bailebi01",38,"no",70,8,0,3253,570,11,1922,3.14,1.37,92,2.92,8.2,0.1,4,5.1,1.26,1913,"Starter","Bill","Bailey","FALSE",8.80105322180445e-08,0
"51","bailesc01",39,"no",5,2,13,2039,351,9,1998,4.87,1.45,82,4.62,9.8,1.2,3.1,4.3,1.38,1990,"Reliever","Scott","Bailes","FALSE",3.24019581982466e-06,0
"52","bairdo01",55,"no",0,0,81,2728,689,15,1990,2.94,1.28,138,3.74,7.7,0.9,3.8,6.9,1.81,1983,"Reliever","Doug","Bair","FALSE",4.28498646213777e-06,0
"53","bakersc02",66,"no",4,2,0,3194,839,10,2015,4.15,1.26,106,3.95,9.1,1.2,2.1,7.3,3.47,2008,"Starter","Scott","Baker","FALSE",1.6142633100463e-06,0
"54","baldsja01",48,"no",0,0,60,2112,555,9,1970,3.56,1.38,110,3.17,8.4,0.5,3.7,7,1.88,1964,"Reliever","Jack","Baldschun","FALSE",4.48664375335554e-06,0
"55","baldwja01",79,"no",7,2,2,3968,844,11,2005,4.82,1.42,95,4.89,9.5,1.3,3.3,5.9,1.75,1999,"Starter","James","Baldwin","FALSE",6.32108161824837e-06,0
"56","baldwma01",154,"no",295,14,5,8407,1349,7,1893,3.37,1.43,113,3.79,8.6,0.2,4.3,4.4,1.02,1890,"Starter","Mark","Baldwin","FALSE",0.00242464318625446,0.2
"57","balfogr01",30,"no",0,0,84,1619,571,12,2015,2.9,1.11,161,3.25,6.3,0.7,3.6,9.6,2.64,2010,"Reliever","Grant","Balfour","FALSE",7.8781818576237e-06,0
"58","bankhsc01",57,"no",7,3,1,2703,614,10,1995,3.68,1.25,108,3.66,8.2,0.8,2.8,6.3,2.22,1990,"Starter","Scott","Bankhead","FALSE",9.44504856514822e-07,0
"59","bannifl01",134,"no",62,16,0,7164,1723,15,1992,3.6,1.26,111,3.87,8.4,1.1,2.8,6.5,2.31,1982,"Starter","Floyd","Bannister","FALSE",2.89293526473913e-05,0
"60","barbest01",121,"no",59,21,13,5997,1309,15,1974,2.96,1.3,126,3.39,7.7,0.5,4,5.7,1.44,1964,"Starter","Steve","Barber","FALSE",0.000415354017511921,0
"61","barkele01",74,"no",35,7,5,3971,975,11,1987,4.11,1.33,95,3.2,8.4,0.6,3.3,6.9,2.06,1981,"Starter","Len","Barker","FALSE",7.1301022850376e-06,0
"62","barneje01",152,"no",180,26,13,7709,653,13,1927,2.82,1.2,131,3.34,9.1,0.3,1.6,2.1,1.3,1920,"Starter","Jesse","Barnes","FALSE",0.00311286114698941,0.3
"63","barnevi01",61,"no",58,7,11,3282,275,9,1928,3.63,1.35,116,3.88,9.7,0.4,2.3,2.3,1,1925,"Starter","Virgil","Barnes","FALSE",1.48686263674015e-05,0
"64","barrere01",69,"no",67,11,7,3790,333,11,1949,3.55,1.26,104,3.53,9.1,0.5,2.1,2.3,1.1,1946,"Starter","Red","Barrett","FALSE",2.06872742669782e-05,0
"65","barrji01",101,"no",64,20,12,6196,741,12,1983,3.15,1.22,116,3.48,9,0.6,2,3.1,1.55,1976,"Starter","Jim","Barr","FALSE",5.21249131111948e-05,0
"66","batismi01",102,"no",11,5,41,5869,1250,18,2012,3.68,1.39,118,4.25,8.7,0.8,3.6,6.2,1.73,2005,"Reliever","Miguel","Batista","FALSE",1.08681085044048e-06,0
"67","baumafr01",45,"no",19,4,13,2392,384,11,1965,4.03,1.44,105,3.86,9.8,0.8,3,3.9,1.28,1960,"Reliever","Frank","Baumann","FALSE",6.41858469907246e-06,0
"68","bautijo01",32,"no",4,0,3,2057,328,9,1997,4.54,1.3,100,4.87,9.3,1.3,2.2,4.2,1.89,1993,"Reliever","Jose","Bautista","FALSE",6.44021900461177e-07,0
"69","baynebi01",31,"no",21,2,8,1986,259,9,1930,4.83,1.52,84,4.49,9.6,0.4,4,3.8,0.96,1924,"Reliever","Bill","Bayne","FALSE",4.72422371600678e-06,0
"70","beattji01",52,"no",31,7,1,3446,660,9,1986,3.88,1.39,101,3.75,8.9,0.6,3.6,5.2,1.45,1981,"Starter","Jim","Beattie","FALSE",2.31703296991057e-06,0
"71","beckbo01",38,"no",44,3,6,3102,352,12,1945,3.98,1.36,101,3.9,9.5,0.4,2.7,3.2,1.16,1939,"Starter","Boom-Boom","Beck","FALSE",5.12516004962387e-07,0
"72","beckejo02",138,"no",12,6,0,6153,1901,14,2014,3.33,1.17,129,3.45,7.9,0.9,2.6,8.6,3.31,2008,"Starter","Josh","Beckett","FALSE",0.00012126940037951,0
